iter	Passed	Remaining
428	1716	2285
429	1720	2280
430	1722	2274
431	1725	2268
432	1727	2262
433	1730	2257
434	1733	2251
435	1736	2246
436	1739	2241
437	1742	2235
438	1745	2230
439	1747	2224
440	1753	2222
441	1755	2216
442	1758	2210
443	1760	2204
444	1763	2199
445	1767	2195
446	1770	2189
447	1772	2184
448	1775	2178
449	1777	2172
450	1781	2168
451	1783	2162
452	1786	2156
453	1788	2151
454	1791	2145
455	1793	2139
456	1796	2134
457	1799	2129
458	1801	2123
459	1803	2117
460	1805	2111
461	1808	2105
462	1811	2101
463	1814	2095
464	1816	2090
465	1819	2085
466	1823	2080
467	1829	2079
468	1833	2076
469	1838	2073
470	1844	2071
471	1847	2066
472	1850	2062
473	1854	2057
474	1859	2055
475	1863	2051
476	1867	2047
477	1870	2042
478	1874	2038
479	1878	2035
480	1882	2031
481	1886	2026
482	1889	2022
483	1892	2017
484	1896	2013
485	1899	2009
486	1903	2005
487	1908	2001
488	1911	1997
489	1914	1992
490	1918	1988
491	1922	1984
492	1926	1980
493	1929	1976
494	1936	1975
495	1940	1971
496	1943	1967
497	1946	1962
498	1954	1962
499	1957	1957
500	1963	1955
501	1974	1959
502	1981	1958
503	1987	1955
504	1990	1951
505	2006	1959
506	2014	1958
507	2021	1957
508	2032	1960
509	2045	1965
510	2049	1961
511	2052	1956
512	2056	1952
513	2103	1989
514	2108	1985
515	2112	1981
516	2162	2020
517	2166	2016
518	2173	2014
519	2177	2010
520	2197	2020
521	2218	2031
522	2226	2030
523	2233	2028
524	2241	2027
525	2244	2022
526	2248	2017
527	2270	2030
528	2275	2026
529	2281	2023
530	2288	2020
531	2292	2017
532	2297	2013
533	2305	2012
534	2310	2008
535	2318	2007
536	2323	2003
537	2329	2000
538	2334	1996
539	2338	1992
540	2347	1992
541	2352	1987
542	2356	1982
543	2369	1985
544	2373	1981
545	2379	1978
546	2385	1975
547	2389	1970
548	2399	1971
549	2403	1966
550	2413	1966
551	2420	1964
552	2428	1963
553	2433	1958
554	2442	1958
555	2447	1954
556	2452	1950
557	2459	1948
558	2463	1943
559	2475	1945
560	2480	1940
561	2488	1939
562	2491	1934
563	2495	1928
564	2504	1927
565	2516	1929
566	2521	1925
567	2524	1920
568	2540	1924
569	2544	1919
570	2553	1918
571	2561	1916
572	2568	1914
573	2572	1909
574	2578	1905
575	2584	1902
576	2587	1896
577	2590	1891
578	2599	1890
579	2604	1885
580	2607	1880
581	2613	1876
582	2617	1871
583	2622	1867
584	2625	1862
585	2629	1857
586	2633	1852
587	2642	1851
588	2646	1846
589	2649	1841
590	2653	1836
591	2658	1832
592	2668	1831
593	2671	1825
594	2674	1820
595	2683	1818
596	2687	1814
597	2693	1810
598	2699	1807
599	2708	1805
600	2715	1802
601	2719	1797
602	2729	1797
603	2736	1794
604	2747	1794
605	2751	1788
606	2755	1784
607	2760	1779
608	2764	1775
609	2767	1769
610	2773	1765
611	2777	1761
612	2780	1755
613	2784	1750
614	2787	1745
615	2790	1739
616	2794	1734
617	2797	1729
618	2802	1724
619	2806	1720
620	2809	1714
621	2812	1709
622	2821	1707
623	2824	1701
624	2827	1696
625	2832	1692
626	2835	1687
627	2839	1681
628	2843	1677
629	2848	1672
630	2852	1667
631	2855	1662
632	2858	1657
633	2864	1653
634	2866	1647
635	2869	1642
636	2872	1636
637	2876	1632
638	2880	1627
639	2883	1622
640	2887	1617
641	2892	1612
642	2895	1607
643	2898	1602
644	2901	1596
645	2905	1591
646	2909	1587
647	2912	1582
648	2915	1577
649	2920	1572
650	2924	1567
651	2927	1562
652	2930	1557
653	2934	1552
654	2938	1547
655	2941	1542
656	2944	1537
657	2948	1532
658	2952	1528
659	2956	1523
660	2959	1517
661	2963	1512
662	2967	1508
663	2970	1503
664	2973	1497
665	2976	1492
666	2979	1487
667	2981	1481
668	2985	1477
669	2989	1472
670	2991	1466
671	2995	1461
672	2998	1457
673	3002	1452
674	3005	1447
675	3009	1442
676	3013	1437
677	3016	1432
678	3020	1427
679	3022	1422
680	3025	1417
681	3030	1412
682	3033	1408
683	3037	1403
684	3040	1398
685	3044	1393
686	3047	1388
687	3050	1383
688	3053	1378
689	3055	1372
690	3060	1368
691	3063	1363
692	3065	1358
693	3068	1353
694	3071	1347
695	3075	1343
696	3078	1338
697	3081	1333
698	3085	1328
699	3092	1325
700	3095	1320
701	3098	1315
702	3101	1310
703	3105	1305
704	3108	1300
705	3111	1295
706	3114	1290
707	3117	1285
708	3121	1281
709	3124	1276
710	3127	1271
711	3130	1266
712	3137	1262
713	3140	1257
714	3143	1252
715	3146	1248
716	3150	1243
717	3153	1238
718	3156	1233
719	3158	1228
720	3161	1223
721	3165	1218
722	3168	1213
723	3171	1208
724	3174	1204
725	3177	1199
726	3181	1194
727	3184	1189
728	3187	1185
729	3190	1180
730	3193	1175
731	3196	1170
732	3199	1165
733	3202	1160
734	3205	1155
735	3208	1150
736	3211	1146
737	3215	1141
738	3217	1136
739	3220	1131
740	3223	1126
741	3226	1122
742	3230	1117
743	3234	1112
744	3238	1108
745	3243	1104
746	3247	1099
747	3250	1095
748	3255	1091
749	3260	1086
750	3262	1081
751	3265	1077
752	3271	1072
753	3273	1067
754	3276	1063
755	3279	1058
756	3281	1053
757	3285	1048
758	3288	1044
759	3291	1039
760	3294	1034
761	3296	1029
762	3301	1025
763	3304	1020
764	3307	1016
765	3310	1011
766	3312	1006
767	3317	1002
768	3319	997
769	3322	992
770	3325	987
771	3327	982
772	3331	978
773	3334	973
774	3337	968
775	3341	964
776	3343	959
777	3346	954
778	3349	950
779	3351	945
780	3354	940
781	3357	936
782	3361	931
783	3364	926
784	3366	922
785	3369	917
786	3371	912
787	3373	907
788	3378	903
789	3380	898
790	3383	894
791	3386	889
792	3389	884
793	3391	879
794	3394	875
795	3397	870
796	3399	865
797	3402	861
798	3405	856
799	3408	852
800	3411	847
801	3413	842
802	3415	837
803	3418	833
804	3421	828
805	3423	823
806	3427	819
807	3430	815
808	3433	810
809	3436	806
810	3439	801
811	3442	796
812	3445	792
813	3447	787
814	3451	783
815	3454	778
816	3456	774
817	3458	769
818	3460	764
819	3463	760
820	3467	755
821	3469	751
822	3472	746
823	3474	742
824	3477	737
825	3482	733
826	3484	728
827	3487	724
828	3489	719
829	3492	715
830	3497	711
831	3499	706
832	3501	702
833	3504	697
834	3506	692
835	3509	688
836	3513	684
837	3515	679
838	3518	675
839	3520	670
840	3522	666
841	3527	661
842	3530	657
843	3532	652
844	3534	648
845	3536	643
846	3538	639
847	3542	634
848	3544	630
849	3546	625
850	3549	621
851	3551	616
852	3553	612
853	3556	608
854	3559	603
855	3561	599
856	3563	594
857	3566	590
858	3568	585
859	3571	581
860	3573	576
861	3575	572
862	3577	567
863	3579	563
864	3582	559
865	3584	554
866	3589	550
867	3591	546
868	3593	541
869	3596	537
870	3599	533
871	3602	528
872	3604	524
873	3607	520
874	3609	515
875	3611	511
876	3613	506
877	3615	502
878	3618	498
879	3621	493
880	3623	489
881	3626	485
882	3629	480
883	3635	476
884	3637	472
885	3640	468
886	3643	464
887	3645	459
888	3650	455
889	3653	451
890	3656	447
891	3659	443
892	3665	439
893	3669	435
894	3672	430
895	3675	426
896	3680	422
897	3683	418
898	3686	414
899	3689	409
900	3693	405
901	3697	401
902	3700	397
903	3703	393
904	3706	389
905	3709	384
906	3712	380
907	3715	376
908	3719	372
909	3722	368
910	3726	364
911	3729	359
912	3732	355
913	3735	351
914	3738	347
915	3742	343
916	3745	339
917	3748	334
918	3750	330
919	3755	326
920	3758	322
921	3760	318
922	3764	314
923	3767	309
924	3770	305
925	3773	301
926	3776	297
927	3779	293
928	3785	289
929	3787	285
930	3790	280
931	3794	276
932	3798	272
933	3802	268
934	3804	264
935	3808	260
936	3856	259
937	3863	255
938	3866	251
939	3869	247
940	3872	242
941	3877	238
942	3881	234
943	3885	230
944	3888	226
945	3891	222
946	3909	218
947	3916	214
948	3919	210
949	3922	206
950	3926	202
951	3929	198
952	3932	193
953	3935	189
954	3941	185
955	3944	181
956	3947	177
957	3950	173
958	3954	169
959	3957	164
960	3960	160
961	3963	156
962	3966	152
963	3969	148
964	3971	144
965	3974	139
966	3977	135
967	3979	131
968	3982	127
969	3988	123
970	3991	119
971	3995	115
972	3999	110
973	4002	106
974	4004	102
975	4007	98
976	4010	94
977	4012	90
978	4017	86
979	4020	82
980	4023	77
981	4026	73
982	4032	69
983	4034	65
984	4037	61
985	4040	57
986	4042	53
987	4046	49
988	4049	45
989	4052	40
990	4054	36
991	4056	32
992	4061	28
993	4063	24
994	4067	20
995	4069	16
996	4071	12
997	4074	8
998	4077	4
999	4079	0
